,id,listing_url,name,host_id,latitude,longitude,property_type,room_type,price,accommodates,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,SuperHost,bedrooms_n,beds_n,baths_n
47,194809,https://www.airbnb.com/rooms/194809,Rental unit in Los Angeles · ★4.40 · 1 bedroom · 1 bed · 1 bath,946246,34.0238,-118.40512,Entire rental unit,Entire home/apt,$59.00,2,4.4,4.43,4.24,4.57,4.81,4.67,4.52,No,1,1.0,1.0
48,15333,https://www.airbnb.com/rooms/15333,Vacation home in N Hollywood · ★5.0 · 2 bedrooms · 10 beds · 1 bath,60057,34.16614532470703,-118.4123764038086,Entire vacation home,Entire home/apt,$509.00,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,2,1.0,1.0
49,18041,https://www.airbnb.com/rooms/18041,Home in Los Angeles · ★5.0 · 3 bedrooms · 4 beds · 2 baths,69546,33.99179,-118.45056,Entire home,Entire home/apt,$313.00,8,5.0,5.0,4.75,5.0,5.0,5.0,5.0,Yes,3,4.0,2.0
50,52871,https://www.airbnb.com/rooms/52871,Rental unit in Beverly Hills · ★4.90 · 1 bedroom · 2 beds · 1 bath,245280,34.06118,-118.39804,Entire rental unit,Entire home/apt,$188.00,6,4.9,4.91,4.87,4.96,4.96,4.98,4.88,Yes,1,2.0,1.0
51,53125,https://www.airbnb.com/rooms/53125,Boutique hotel in Santa Monica · ★4.23 · Studio · 1 private bath,239712,34.01295,-118.49486,Room in boutique hotel,Private room,$106.00,2,4.23,4.28,4.07,4.4,4.34,4.84,4.29,No,Studio,Unknown,1.0
52,195229,https://www.airbnb.com/rooms/195229,Home in Los Angeles · ★4.92 · 1 bedroom · 1 bed · 1 private bath,393829,34.02035,-118.43428,Private room in home,Private room,$129.00,2,4.92,4.97,4.92,5.0,4.97,4.89,4.89,No,1,1,1.0
53,53945,https://www.airbnb.com/rooms/53945,Rental unit in Beverly Hills · ★4.78 · 1 bedroom · 1 bed · 1 bath,239905,34.06171,-118.37258,Entire rental unit,Entire home/apt,$135.00,2,4.78,4.68,4.7,4.91,4.95,4.79,4.76,No,1,1,1.0
54,61578,https://www.airbnb.com/rooms/61578,Condo in Los Angeles · ★4.92 · 2 bedrooms · 2 beds · 2 baths,298123,33.99122,-118.46898,Entire condo,Entire home/apt,$417.00,6,4.92,4.89,4.94,4.89,4.94,5.0,4.78,No,2,2,2.0
55,18067,https://www.airbnb.com/rooms/18067,Home in Venice · ★4.45 · 2 bedrooms · 2 beds · 1 bath,69546,33.99117,-118.45159,Entire home,Entire home/apt,$243.00,4,4.45,4.32,4.05,4.76,4.68,4.65,4.24,Yes,2,2,1.0
56,18433,https://www.airbnb.com/rooms/18433,Home in Los Angeles · ★4.67 · 3 bedrooms · 1 bed · 2 baths,70988,33.99121,-118.44049,Private room in home,Private room,$126.00,1,4.67,4.67,4.5,5.0,5.0,4.67,4.33,No,3,1,2.0
57,19887,https://www.airbnb.com/rooms/19887,Home in Los Angeles · ★4.84 · 1 bedroom · 1 bed · 1 private bath,75052,34.08363,-118.2843,Private room in home,Private room,$75.00,2,4.84,4.85,4.89,4.92,4.89,4.84,4.75,No,1,1,1.0
