GEO_ID,NAME,P1_001N,P1_001NA
Geography,Geographic Area Name, !!Total,Annotation of  !!Total
860Z200US91746,ZCTA5 91746,29509,null
860Z200US91748,ZCTA5 91748,44737,null
860Z200US91750,ZCTA5 91750,33376,null
860Z200US91752,ZCTA5 91752,38610,null
860Z200US91754,ZCTA5 91754,33300,null
860Z200US91755,ZCTA5 91755,27637,null
860Z200US91759,ZCTA5 91759,432,null
860Z200US91761,ZCTA5 91761,60306,null
860Z200US91762,ZCTA5 91762,62524,null
860Z200US91763,ZCTA5 91763,37631,null
860Z200US91764,ZCTA5 91764,55322,null
860Z200US91765,ZCTA5 91765,46449,null
860Z200US91766,ZCTA5 91766,70701,null
860Z200US91767,ZCTA5 91767,51654,null
860Z200US91768,ZCTA5 91768,35568,null
860Z200US91770,ZCTA5 91770,59360,null
860Z200US91773,ZCTA5 91773,34592,null
860Z200US91775,ZCTA5 91775,24252,null
860Z200US91776,ZCTA5 91776,38031,null
860Z200US91780,ZCTA5 91780,35751,null
860Z200US91784,ZCTA5 91784,26718,null
860Z200US91786,ZCTA5 91786,55763,null
860Z200US91789,ZCTA5 91789,41235,null
860Z200US91790,ZCTA5 91790,46364,null
860Z200US91791,ZCTA5 91791,34267,null
860Z200US91792,ZCTA5 91792,30683,null
860Z200US91801,ZCTA5 91801,53669,null
860Z200US91803,ZCTA5 91803,29374,null
860Z200US91901,ZCTA5 91901,17688,null
860Z200US91902,ZCTA5 91902,17902,null
860Z200US91905,ZCTA5 91905,1799,null
860Z200US91906,ZCTA5 91906,3904,null
860Z200US91910,ZCTA5 91910,79613,null
860Z200US91911,ZCTA5 91911,85442,null
860Z200US91913,ZCTA5 91913,55923,null
860Z200US91914,ZCTA5 91914,17522,null
860Z200US91915,ZCTA5 91915,33218,null
860Z200US91916,ZCTA5 91916,1720,null
860Z200US91917,ZCTA5 91917,1126,null
860Z200US91931,ZCTA5 91931,481,null
860Z200US91932,ZCTA5 91932,26013,null
860Z200US91934,ZCTA5 91934,693,null
860Z200US91935,ZCTA5 91935,8841,null
860Z200US91941,ZCTA5 91941,33895,null
860Z200US91942,ZCTA5 91942,40813,null
