,ZIP,Crime_Type,Crime_Count,Population,Crime_Rate
192,90305,property,46,15367.0,0.0029934274744582547
193,90402,personal,53,12295.0,0.004310695404636031
194,90402,property,130,12295.0,0.01057340382269215
195,90403,personal,1,25278.0,3.956009177941293e-05
196,90403,property,1,25278.0,3.956009177941293e-05
197,90404,personal,22,21995.0,0.0010002273243919072
198,90404,property,80,21995.0,0.0036371902705160265
199,90405,personal,7,27966.0,0.00025030394049917757
200,90405,property,17,27966.0,0.0006078809983551455
201,90501,personal,252,43990.0,0.0057285746760627415
202,90501,property,386,43990.0,0.008774721527619914
203,90502,personal,47,18977.0,0.0024766822996258628
204,90502,property,176,18977.0,0.009274384781577698
205,90504,personal,3,32503.0,9.229917238408763e-05
206,90504,property,6,32503.0,0.00018459834476817526
207,90505,personal,33,36643.0,0.000900581284283492
208,90505,property,22,36643.0,0.0006003875228556614
209,90640,personal,9,62678.0,0.00014359105268196178
210,90640,property,7,62678.0,0.00011168192986374804
211,90710,personal,472,26605.0,0.017741026122909228
212,90710,property,725,26605.0,0.02725051682014659
213,90717,personal,16,22044.0,0.0007258210851025222
214,90717,property,21,22044.0,0.0009526401741970605
215,90731,personal,1313,61270.0,0.02142973722866003
216,90731,property,1768,61270.0,0.02885588379304717
217,90732,personal,186,21397.0,0.00869280740290695
218,90732,property,422,21397.0,0.019722390989391037
219,90733,personal,13,0.0,1.0
220,90733,property,19,0.0,1.0
221,90744,personal,1141,53074.0,0.021498285412819836
222,90744,property,1372,53074.0,0.02585069902400422
223,90745,personal,158,59937.0,0.00263610123963495
224,90745,property,146,59937.0,0.0024358910189031815
225,90810,personal,26,38529.0,0.0006748163720833658
226,90810,property,75,38529.0,0.0019465856887020167
227,90813,personal,2,54565.0,3.665353248419316e-05
228,90813,property,1,54565.0,1.832676624209658e-05
229,90831,property,1,0.0,1.0
230,90851,personal,95,0.0,1.0
231,90851,property,174,0.0,1.0
232,91030,personal,6,26927.0,0.0002228246741189141
233,91030,property,7,26927.0,0.0002599621198053998
234,91040,personal,208,21588.0,0.009634982397628312
235,91040,property,466,21588.0,0.021586066333148045
236,91042,personal,304,28036.0,0.010843201597945499
237,91042,property,559,28036.0,0.019938650306748466
238,91102,property,1,0.0,1.0
239,91105,personal,3,13869.0,0.00021630975556997622
240,91105,property,3,13869.0,0.00021630975556997622
241,91201,personal,4,22608.0,0.00017692852087756547
242,91201,property,26,22608.0,0.0011500353857041756
243,91203,personal,1,16930.0,5.906674542232723e-05
244,91204,personal,1,17302.0,5.7796786498670675e-05
245,91205,personal,6,36693.0,0.0001635189273158368
246,91205,property,9,36693.0,0.0002452783909737552
247,91206,personal,11,33252.0,0.0003308071694935643
248,91206,property,48,33252.0,0.001443522194153735
249,91210,property,1,555.0,0.0018018018018018018
250,91214,personal,26,31097.0,0.0008360935138437792
251,91214,property,15,31097.0,0.0004823616426021803
