,listing_id,id,date,reviewer_id,reviewer_name,comments,Year
728870,22215734,235708125,2018-02-17,35641118,Dulce,"This place is amazing! My husband, baby, and I spent a night here because we had a long layover in LA and we couldn't have been more pleased. Isaac was great at communicating and gave us perfect directions to get in. The amennitites were an extra plus we were not expecting, specially having hot water available for baby's formula! We loved staying there.",2018.0
728871,22215734,236888017,2018-02-20,108086864,Ian,"Nice secluded location. Easily accessible from LAX. Clean, thoughtfully decorated, and spacious enough for a comfortable stay for two.",2018.0
728872,22215734,237128239,2018-02-21,311715,Christa + David,"After a 10 hour travel day, this place was just what we needed. Great space, comfortable, quiet neighborhood, and close to the airport!",2018.0
728873,22215734,237942205,2018-02-24,161202351,Lexie,This was just perfect for our overnight stay before our cruise!  The room was lovely and the bed was divine!!  We would definitely stay here again!!,2018.0
728874,22215734,238446777,2018-02-25,170208284,Loni,"Great, clean space. We were very pleased. Thank you, Isaac!!",2018.0
728875,22215734,238749084,2018-02-26,773676,Heather,"Great apartment in LA! The location to the airport makes this a super convenient spot for a layover or even longer stay in LA. The space was modern, clean, and super cute! We especially loved the little touches like coffee and fridge left for us. Made the morning super easy. Isaac was very nice and quick to respond. We would definitely stay here again and would recommend to our friends!",2018.0
728876,22215734,238969452,2018-02-27,22923510,Olu,Cozy little spot that is extremely close to the airport. Quiet and comfortable space. Everything was set up well from check in to the accommodations.,2018.0
728877,22215734,239427424,2018-03-01,101564632,Andrew,Convenient spot for lax travel!,2018.0
728878,22215734,239676820,2018-03-02,33642314,Jackie,Very conveniently located near the airport! Great communication and easily accessible. Very clean and well thought out accommodations! Highly recommended. ,2018.0
728879,22215734,239933412,2018-03-03,161286307,Yuguo,Well decorated house. Very clean and comfortable. Highly recommended,2018.0
728883,22215734,240916260,2018-03-06,3313900,Anais,"The place was clean, quiet and we loved that our host provided coffee et water.<br/>Communication was proactive and prompt",2018.0
728895,22215734,241129215,2018-03-07,49268094,Hitesh,"This is a fantastic space! Isaac takes really good care of the guest room. The place was really clean and with good amenities. Honestly, I can suggest hotels to emulate that kind of care for a space. Check-in was easy and quick. Highly recommended!",2018.0
728896,22215734,241334459,2018-03-08,124204322,Dorian,Place was super close to airport and rental car places and in a nice neighborhood.. the room is super super nice and luxurious. Nice room and closet space . Big bed . Huge tv. A lot of power outlines by bed to charge your devices . Nice shower and style . Super nice place .,2018.0
728908,22215734,241574335,2018-03-09,171346853,Alexies,Super close to LAX airport but you can’t hear any airplanes overhead at all. Really clean modern space with all the essential amenities. Would stay again.,2018.0
728949,22215734,242394524,2018-03-11,194261,LuRae,"Isaac is an amazing host. The space is beautiful, spotless, so modern, with all the right touches. His communication was so helpful, he proactively gave me everything I needed to find the unit and get inside.<br/>Bedding is so comfortable and the space is so cozy. Highly recommend staying here. I will again for sure.",2018.0
728950,22215734,242677440,2018-03-12,166484088,Amber,Issac was very prompt when we had an issue with the tv. He gave us excellent suggestions for places to eat and drink. Thanks so much!,2018.0
728961,22215734,242910511,2018-03-13,10923091,Kervin,The place is literally quite perfect. Has all the amenities you could want. We could have easily stayed there for weeks!,2018.0
728962,22215734,243124280,2018-03-14,9770518,Vinny,Perfect for us as a close stay to the airport. Couldn't have been more convenient,2018.0
728963,22215734,243372095,2018-03-15,126447069,Mark,Isaac's place is very nice and clean. It was close to the airport and exactly what we needed for our early am flight. Very responsive and considerate host! Highly recommend.,2018.0
728977,22215734,243676008,2018-03-16,11562512,Lara,"This place is terrific!  If you have a chance to stay here, grab it: It is spanking clean, stylish, serene, very private--simply lovely! <br/>Issac is a great host as he responds immediately to questions and he is very friendly. I would love to stay here again !! <br/>Thank you, Issac!!",2018.0
728978,22215734,243969790,2018-03-17,14766647,Allison,"Great communication and easy self check in and check out. The space was spotlessly clean, and we had everything we needed for our last night in LA before a very early flight home. It took 6 min. to drive to the car rental return, making it a convenient and much more comfortable option than the hotels in the area. We’ll definitely try staying here again when we’re flying out of LA.",2018.0
728979,22215734,244551421,2018-03-18,163244658,Rachel,Extremely accurate to what was shown and an amazing experience for me and  my boyfriends first time trying an air bnb. We will definitely be back .,2018.0
